"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Zoom To"
"","LAKE ALDERSGATE","-","RI04180","03/21/2014","Private","NEW ENGLAND CONFERENCE OF THE UNITED METHODIST CHURCH DBA CAMP ALDERSGATE","6","80","Recreation","Recreation","Earth","MOSQUITOHAWK BROOK-TRIB","GLOCESTER","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.66243747","41.87895205"
"","COVENTRY RESERVOIR","STUMP POND","RI00603","05/24/2010","Private","HALL, STACIA","15","848","Recreation","Recreation","-","QUIDNICK BROOK","COVENTRY","0","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.63659672","41.70088578"
"","CRANSTON PRINT WORKS POND","-","RI00701","10/15/2009","Private","CRANSTON PRINT WORKS COMPANY","17","255","Other","Other","-","POCASSET RIVER","CRANSTON","1","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.45970919","41.79346467"
"","WARREN RESERVOIR LOWER","KICKAMUIT LOWER RESERVOIR","RI04342","07/20/2012","Local Government","BRISTOL COUNTY WATER AUTHORITY","10","111","Water Supply","Water Supply","-","KICKAMUIT RIVER","WARREN","0","BRISTOL","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.26305","41.72974"
"","SLOCUM ROAD UPPER","-","RI04502","05/07/2010","Private","KLEIN, MAURICE N. & KIMBERLY PERRY","0","0","-","-","-","CHIPUXET RIVER-TRIB","-","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.51246","41.51794"
"","MANTON MILL POND","-","RI04277","-","Private","RIVER EDGE VILLAGE ASSOCIATES; DECORATIVE SPECIALTIES INTERNATIONAL INC.","11","50","Other","Other","Concrete","WOONASQUATUCKET RIVER","PROVIDENCE","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.47212978","41.83495329"
"","NYE FARM POND","-","RI04059","-","Private","NYE, NORMAN & BERYL","10","5","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Earth","BUCKS HORN BROOK","COVENTRY","0","KENT","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.73838044","41.69018938"
"","HAPPY HOLLOW POND","-","RI00806","07/14/2012","Local Government","PAWTUCKET WATER SUPPLY BOARD","19","360","Water Supply","Water Supply","-","ABBOTT RUN","CENTRAL FALLS","1","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.38552854","41.90099339"
"","ASA POND","-","RI04330","09/08/2014","Local Government","SOUTH KINGSTOWN, TOWN OF","10","137","Recreation","Recreation","-","ROCKY BROOK","SOUTH KINGSTOWN","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.51294704","41.45770265"
"","BARNEY POND","-","RI01701","04/09/2009","Local Government","LINCOLN, TOWN OF","20","172","Recreation","Recreation","-","MOSHASSUCK RIVER","LINCOLN","1","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.41432187","41.8965149"
"","BELLEVILLE POND","-","RI02305","08/07/2012","Local Government","NORTH KINGSTOWN, TOWN OF","8","461","Recreation","Recreation","-","ANNAQUATUCKET RIVER","NORTH KINGSTOWN","2","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.47319035","41.55976103"
"","JAMES V TURNER RESERVOIR","EAST PROVIDENCE WATER WORKS","RI01002","-","Local Government","EAST PROVIDENCE, CITY OF","8","234","Recreation","Recreation","-","TEN MILE RIVER","EAST PROVIDENCE","1","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.34188076","41.83319855"
"","OMEGA POND","-","RI01001","-","Private","OCEAN STATE STEEL, INC.","60","3100","Recreation","Recreation","-","TEN MILE RIVER","EAST PROVIDENCE","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","Y","N","-","-71.36876679","41.83885956"
"","KIMBALL RESERVOIR","-","RI01603","-","Local Government","PROVIDENCE WATER SUPPLY BOARD","10","116","Water Supply","Water Supply","-","MOSWANSICUT BROOK","SCITUATE","2","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.56513209","41.83812332"
"","LAWTON VALLEY RESERVOIR","-","RI02701","11/15/2010","Local Government","NEWPORT, CITY OF","48","1764","Water Supply","Water Supply","-","LAWTON VALLEY BROOK","PORTSMOUTH","0","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.28055575","41.56572341"
"","BLACKSTONE","TUPPERWARE","RI83001","-","Private","DART INDUSTRIES (TUPPERWARE)","42","708","Hydroelectric","Hydroelectric","-","BLACKSTONE RIVER","NORTH SMITHFIELD","0","-","RI","MA02","James P. McGovern (D)","N","N","N","-","-71.553587","42.015349"
"","DIAMOND HILL RESERVOIR","PAWTUCKET UPPER RESERVOIR","RI00802","07/11/2012","Local Government","PAWTUCKET WATER SUPPLY BOARD","80","15680","Water Supply","Water Supply","-","BURNT SWAMP BROOK","CUMBERLAND","1","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.39688877","41.98958971"
"","SLACK RESERVOIR","-","RI03104","11/23/2009","Private","SLACK'S RESERVOIR ASSOCIATION, INC.","17","1780","Recreation","Recreation","-","STILLWATER RIVER-TRIB","SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.55325319","41.86879352"
"","STILLWATER POND","-","RI03102","05/20/2010","Private","BREAKWATER PRESERVATION CONSERVANCY","18","170","Other","Other","-","WOONASQUATUCKET RIVER","SMITHFIELD","2","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.52516177","41.90790562"
"","LYMANSVILLE","-","RI02402","-","Private","THETA PROPERTIES, INC.","19","68","Other","Other","-","WOONASQUATUCKET RIVER","NORTH PROVIDENCE","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.47739408","41.8395615"
"","ROBIN HOLLOW POND","-","RI00805","08/03/2010","Local Government","PAWTUCKET WATER SUPPLY BOARD","15","240","Water Supply","Water Supply","-","ABBOTT RUN","CENTRAL FALLS","1","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.38421628","41.91420746"
"","SLATERSVILLE RESERVOIR MIDDLE","-","RI02502","11/12/2009","Private","DUDLEY DEVELOPMENT CORP.","26","1330","-","-","-","BRANCH RIVER","NORTH SMITHFIELD","1","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.58184813","41.99769971"
"","PEEPTOAD POND","HARRISDALE POND","RI04299","-","Local Government","PROVIDENCE WATER SUPPLY BOARD","16","50","Other","Other","-","PEEPTOAD BROOK","SCITUATE","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.60604854","41.85277172"
"","GREENWICH BLEACHERY POND","-","RI04105","-","State","RI DEM PARKS & RECREATION & FISH & WILDLIFE","8","280","Other","Other","-","MASKERCHUGG RIVER","EAST GREENWICH","0","KENT","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.46006012","41.65254595"
"","HOXIE FARM POND","-","RI04205","10/29/2010","State","RI DOT","7","25","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Earth","CANONCHET BROOK-TRIB","HOPKINTON","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.7509613","41.479084"
"","FLAT RIVER RESERVOIR","JOHNSON'S POND","RI00601","05/12/2014","Private","QUIDNICK RESERVOIR COMPANY","24","12650","Recreation","Recreation","-","PAWTUXET RIVER-SOUTH BRANCH","COVENTRY","2","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.59472653","41.69443512"
"","SYLVESTER POND","-","RI04380","-","Local Government","WOONSOCKET, CITY OF","8","35","Other","Other","-","IRONMINE BROOK","WOONSOCKET","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","Y","N","-","-71.49539943","42.00191878"
"","RHODE ISLAND DAM NO.43","SLATERSVILLE RESERVOIR UPPER DAM","RI02501","09/22/2015","Private","DUDLEY DEVELOPMENT CORPORATION","36","3640","Hydroelectric","Hydroelectric","-","BRANCH RIVER","NORTH SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","N","N","-","-71.595","41.9933"
"","TIOGUE LAKE","-","RI00604","05/24/2010","-","COVENTRY, TOWN OF (GATE OWNER)","15","1468","Recreation","Recreation","-","TIOGUE RIVER","COVENTRY","1","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.55078797","41.68480367"
"","QUIDNICK RESERVOIR","-","RI00602","06/26/2014","Private","YMCA OF PAWTUCKET INC.","14","750","Recreation","Recreation","-","QUIDNICK BROOK","COVENTRY","3","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.67772671","41.68548203"
