"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Lat","Lon"
"","MORSE POND DAM","FERC P-2801","MA00785","08/05/2015","Private","EASTON ENERGY LLC","9","100","Recreation","Recreation","Earth","QUESET BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","08/01/2012","-71.08271404","42.04680306"
"","DUNN BROOK POND DAM","FERC P-2801","MA02774","06/30/2013","Private","UNKNOWN","6","19.8","Other","Other","Earth","TRIBUTARY OF DUNN BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.07571447","42.21743397"
"","ELLIS BRETT POND DAM","FERC P-2801","MA02400","10/27/2013","Local Government","CITY OF BROCKTON, OFFICE OF THE MAYOR","10.5","32","Recreation","Recreation","-","SALISBURY BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","09/09/2009","-71.04386531","42.09107339"
"","OLD SHEPHERD POND DAM","FERC P-2801","MA00993","07/14/2009","Private","KEITH AND NANCY CORKUM","7","50","Other","Other","-","TRIBUTARY OF FRENCH RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-71.93494261","42.08038564"
"","ROARING BROOK DAM","FERC P-2801","MA01056","07/01/2014","Local Government","SOUTH DEERFIELD WATER SUPPLY DISTRICT","65","553","Water Supply","Water Supply","Earth","ROARING BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","10/31/2014","-72.66490392","42.47022132"
"","ELLIS POND DAM","FERC P-2801","MA01017","06/06/2014","Private","WESTMINSTER SPORTSMAN CLUB","6.6","148","Recreation","Recreation","-","TRIBUTARY OF WHITMAN RIVER","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.93759","42.541294"
"","SHAWVILLE POND DAM","FERC P-2801","MA02381","03/08/2012","Local Government","TOWN OF WALES, BOARD OF SELECTMEN","13","22","Recreation","Recreation","Earth","WALES BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.216527","42.073521"
"","COCHICHEWICK RIVER DAM","FERC P-2801","MA01595","06/01/2012","Private","UNKNOWN","13","32.4","Other","Other","-","COCHICHEWICK RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.132063","42.706569"
"","PRINDLE LAKE DAM","FERC P-2801","MA01174","01/15/2014","Local Government","TOWN OF CHARLTON","11","250","Recreation","Recreation","Earth","TRIBUTARY OF CADY BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.00053099","42.11365571"
"","AMES POND DAM","FERC P-2801","MA01006","05/20/2015","Private","300 AMES POND DRIVE, LLC","11","600","Recreation","Recreation","-","MEADOW BROOK","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","07/01/2009","-71.220927","42.63316"
"","FERNWOOD LAKE EAST DAM","FERC P-2801","MA01336","04/21/2015","Local Government","CITY OF GLOUCESTER, DEPARTMENT OF PUBLIC WORKS","5","330","Recreation","Recreation","Earth","UPPER BANJO POND","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","06/01/2007","-70.69746103","42.61091045"
"","ISLAND POND DAM","FERC P-2801","MA02464","01/04/2007","Local Government","TOWN OF PLYMOUTH, BOARD OF SELECTMEN","10","500","Recreation","Recreation","Earth","-","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.5683828","41.88781399"
"","WEE LADDIE POND DAM","FERC P-2801","MA01827","11/05/2014","Private","SAINT MARK COPTIC ORTHODOX CHURCH OF BOSTON","6","18.5","Recreation","Recreation","Earth","TRIBUTARY TO WEE LADDIE POND","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-71.95670423","42.17491053"
"","INDIAN LAKE DAM","FERC P-2801","MA01051","10/10/2014","Private","INDIAN LAKE ASSOCIATION INC.","15.2","621","Recreation","Recreation","Earth","SPARK BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","07/10/2015","-73.03987484","42.24935787"
"","OCTOBER MT. LAKE DAM","FERC P-2801","MA02561","06/06/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","39","1930","Flood Control","Flood Control, Recreation, Fish and Wildlife Pond","Earth","TRIBUTARY OF MOUNTAIN BROOK","LEE","-","BERKSHIRE","MA","MA01","Richard E. Neal (D)","Y","Y","Y","06/02/2014","-73.18797936","42.34728556"
"","BLOODS POND DAM","FERC P-2801","MA02725","03/05/2012","Local Government","TOWN OF HOPKINTON, DEPARTMENT OF PUBLIC WORKS","12","104","Irrigation","Irrigation, Recreation","Earth","COLD SPRING BROOK (TRIBUTARY TO SUDBURY RIVER)","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.485397","42.21437"
