"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Lat","Lon"
"","MIRROR LAKE DIKE","-","MA03272","08/09/2007","Local Government","TOWN OF NORFOLK","9","400","Recreation","Recreation","Earth","TRIBUTARY OF STONY BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.319775","42.09141667"
"","MILL RIVER DAM","-","MA03407","-","Private","-","43","2200","-","-","-","EAST BRANCH MILL RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","N","N","N","-","-72.731605","42.434866"
"","PAINTSHOP POND DAM","-","MA03213","06/29/2009","Private","WELLESLEY COLLEGE","12","61","Recreation","Recreation","Earth","WABAN BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.316","42.292"
"","PATCH POND DAM","-","MA03341","05/20/2015","Local Government","CITY OF WORCESTER, DEPARTMENT OF PUBLIC WORKS & PARKS","12","60","Other","Other","-","TATNUCK BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.849108","42.263273"
"","OCTOBER MT. LAKE DIKE","PL-566 - FLOOD CONTROL SITE","MA03281","06/06/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","20","1460","Flood Control","Flood Control, Recreation, Fish and Wildlife Pond","Earth","TRIBUTARY OF WASHINGTON MT BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","06/02/2014","-73.179367","42.344186"
"","HIGHLAND COMMONS POND B DAM & DIKE","-","MA03377","-","Private","HIGHLAND COMMONS ASSOCIATES, LLC","0","0","-","-","-","-","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.598764","42.393737"
"","MIDDLE POND DAM #4","-","MA03275","05/13/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","16","380","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","TRIBUTARY TO FURNACE BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-70.992594","41.86819"
"","SAND POND DAM","-","MA03144","-","Private","-","8","104.5","-","-","-","-","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.1081","41.68839296"
"","SIBLEY RESERVOIR DAM","-","MA03362","06/03/2015","Private","SIBLEY RESERVOIR LLC","18.5","400","Other","Other","Earth","TRIBUTARY TO SPRING BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.753277","42.161764"
"","COLLINS POND DAM","-","MA03181","05/26/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","10","32.5","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","TRIBUTARY OF SKUG RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.1078553","42.61097217"
"","SOUTHWEST CAMPUS DAM","-","MA03162","-","Local Government","CITY OF BOSTON","6.2","60","-","-","-","SAWMILL BROOK MARSH","-","0","-","MA","MA08","Stephen F. Lynch (D)","N","N","N","-","-71.17429","42.28311"
"","E. BRANCH HORSESHOE DAM","EAST BRANCH SWIFT REGULATING DAM","MA03287","08/21/2009","State","DCR - DEPT. OF CONSERVATION & RECREATION","31.5","15198","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","-","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.2389","42.39293"
"","BORDERLAND S.P. DAM #3","-","MA03180","07/03/2006","State","DCR - DEPT. OF CONSERVATION & RECREATION","9.5","63","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","TRIBUTARY OF POQUANTICUT BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.154683","42.072729"
"","NEPONSET RESERVOIR DAM","-","MA03115","05/03/2010","Local Government","TOWN OF FOXBOROUGH, BOARD OF SELECTMEN","10","2500","Recreation","Recreation","Earth","NEPONSET RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.25200678","42.08231116"
"","THORTON BURGESS SOCIETY","GAME FARM DAM","MA03176","-","State","DCR - DEPT. OF CONSERVATION & RECREATION","10","50","-","-","-","NYE POND : SCORTON CREEK","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.427306","41.731095"
"","PARADISE POND DAM","-","MA03183","07/08/2015","State","DCR - DEPT. OF CONSERVATION & RECREATION","11","613","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","KEYES BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.85654135","42.49845543"
"","KENOZA LAKE OUTLET DAM","-","MA03200","11/03/2014","Local Government","CITY OF HAVERHILL, WATER DEPARTMENT","10","7805","Water Supply","Water Supply","Earth","COTTLES CREEK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.04634","42.792535"
"","MOTHER BROOK DIVERSION AT CHARLES RIVER","MOTHER BROOK DIVERSION","MA03108","06/24/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","16","0","Flood Control","Flood Control","-","MOTHER BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-71.171599","42.254891"
"","FIELD POND DIKE","-","MA03217","06/05/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","10","380","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","UNNAMED TRIBUTARY OF SKUG RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.106212","42.605924"
"","NUMBER ONE POND DAM","-","MA03382","-","Private","BEVERLY MACCOLLOM","11","56","-","-","-","-","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.800045","42.115536"
"","POND AT WEST ROAD DAM","-","MA03355","-","Private","TRUSTEES OF THE WFJ STACY FAMILY REALTY TRUST","20","62","-","-","-","-","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.859817","42.707959"
"","MT. WAITE OUTLET WORKS","MT. WAITE OUTLET WORKS","MA03296","05/26/2006","State","DCR - DEPT. OF CONSERVATION & RECREATION","7.3","700","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","EAMES BROOK","-","0","-","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","-","-71.4315","42.2843"
"","BREEDS POND DIKE #12","-","MA03167","04/27/2015","Local Government","CITY OF LYNN, LYNN WATER AND SEWER COMMISSION","12","2000","Water Supply","Water Supply","Earth","MOORE'S BROOK TRIBUTARY OF SAUGUS RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","07/29/2013","-70.971362","42.482494"
"","CONSTANCE M. FISKE FLOOD RETARDING DAM","BAITING BROOK DAM","MA03249","05/20/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","28","3358","Flood Control","Flood Control, Recreation, Fish and Wildlife Pond","Earth","BAITING BROOK","-","0","-","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","03/01/2013","-71.46507","42.31708"
"","JEWEL MILL DAM","FERC P-2801","MA01604","09/09/2012","Private","CHERYL FORSTER","6","35","Recreation","Recreation","-","MILL RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-70.900446","42.739093"
"","MAPLE SPRINGS RD. DAM","FERC P-2801","MA02235","-","Private","-","14","54.8","-","-","-","-","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.67245123","41.79798122"
"","HOWE RESERVOIR DAM","FERC P-2801","MA02542","06/04/2013","State","DCR - DEPT. OF CONSERVATION & RECREATION","11","61","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","TURKEY HILL BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.99891317","42.21332365"
"","CARPENTER POND DAM","FERC P-2801","MA01156","11/30/2011","Local Government","TOWN OF FOXBOROUGH, BOARD OF SELECTMEN","16","310","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","COCASSET RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.269538","42.069499"
"","COURNOYER POND DAM","FERC P-2801","MA01635","11/20/2006","Private","LEONARD COURNOYER","14","50","Recreation","Recreation","Earth","-","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.85075221","42.40161957"
"","CONWAY RECREATION DAM","FERC P-2801","MA01058","04/24/2014","Private","CONWAY COMMUNITY POOL INC.","20","25.01","Recreation","Recreation","Earth","PUMPKIN HOLLOW BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.69780198","42.49835209"
"","MILL POND DAM","FERC P-2801","MA01036","06/27/2011","Private","UNKNOWN","9","88","Recreation","Recreation","Earth","BACKUS BROOK, GREEN RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.56367906","41.5788087"
"","FACTORY POND DAM","FERC P-2801","MA02952","06/08/2012","Local Government","TOWN OF HOLLISTON, BOARD OF SELECTMEN","13","50","Recreation","Recreation","-","JAR BROOK/BOGASTOW BROOK","-","0","-","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","-","-71.417828","42.209355"
"","TROWEL SHOP POND DAM","FERC P-2801","MA01161","12/30/2008","Local Government","TOWN OF SHARON, DEPARTMENT OF PUBLIC WORKS","20","60","Recreation","Recreation","Gravity","MASSAPUAG BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.16599426","42.13657433"
"","GOLDTHWAITE BROOK DAM","FERC P-2801","MA01616","08/10/2009","Private","EASTMAN GELATINE CORP.","8","56.1","Water Supply","Water Supply","Earth","GOLDTHWAITE BROOK","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-70.94118","42.5227"
"","BICKFORD POND DIKE","FERC P-2801","MA01022","11/14/2014","Local Government","CITY OF FITCHBURG, OFFICE OF THE MAYOR","17.2","1895","Water Supply","Water Supply","Earth","EAST BRANCH WARE RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","03/02/2015","-71.9343317","42.48913518"
"","WARD POND DAM","FERC P-2801","MA01686","04/23/2015","Private","UD - HENRY T. & BLANCHE A. MARTIN","4","21","Recreation","Recreation","-","-","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.24674","42.56008"
"","HAGGETTS POND DAM","FERC P-2801","MA01213","09/19/2011","Local Government","TOWN OF ANDOVER, BOARD OF SELECTMEN","3.6","781.2","Water Supply","Water Supply","Earth","FISH BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.194428","42.655277"
"","SWANSEA DAM","FERC P-2801","MA01084","06/05/2012","Local Government","TOWN OF SWANSEA","13","127","Recreation","Recreation","-","LEWIN BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.195104","41.749683"
"","CANOE RIVER CAMPGROUND DAM","FERC P-2801","MA02432","05/16/2011","Local Government","TOWN OF MANSFIELD, BOARD OF SELECTMEN","10","98","Recreation","Recreation","Earth","CANOE RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.180488","42.020148"
"","NORTHFIELD MT. NW DIKE & SPILLWAY","FERC P-2801","MA02661","-","Private","FIRSTLIGHT HYDRO GENERATING COMPANY - NORTHFIELD MOUNTAIN STATION","0","0","Hydroelectric","Hydroelectric","Earth","FOURMILE BROOK","-","0","-","MA","MA02","James P. McGovern (D)","N","N","N","-","-72.43556654","42.61927715"
"","SANFORD MILL POND DAM","FERC P-2801","MA01081","-","Private","MILLDAM MANAGEMENT CORPORATION","18","0","Other","Other","Concrete","CHARLES RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.39867","42.138637"
"","IRON HILL DAM","FERC P-2801","MA02492","04/22/2015","Local Government","TOWN OF WEYMOUTH, DEPARTMENT OF PUBLIC WORKS","26","33","Flood Control","Flood Control, Recreation","Gravity","WEYMOUTH BACK RIVER","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","02/28/2014","-70.92759","42.21287"
"","LIBERMAN'S POND DAM","FERC P-2801","MA02626","07/30/2009","Private","ROBERT LIBERMAN","11","275","Fish and Wildlife Pond","Fish and Wildlife Pond","Earth","-","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.1125","42.05333333"
"","DAMONDALE DAM","FERC P-2801","MA02944","12/17/2014","Private","DAMONMILL SQUARE CONDOMINIUM ASSOCIATION","10","400","Recreation","Recreation","-","ASSABET RIVER","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.41066916","42.45349818"
"","ARMSTRONG POND DAM","HOLLINGSWORTH","MA03102","11/13/2014","Private","HOLLINGSWORTH POND, LLC","19.5","48","Other","Other","-","MONATIQUOT RIVER","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","08/11/2015","-71.00357","42.198225"
"","ECHO LAKE DAM","FERC P-2801","MA02521","04/10/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","12","20","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","CHICOPEE RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.88821","42.477504"
"","STONY BROOK POND DAM","-","MA03390","03/22/2011","Local Government","TOWN OF MIDDLEBOROUGH, BOARD OF SELECTMEN","9.3","90.3","Recreation","Recreation","Earth","NEMASKET RIVER TRIBUTARY","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.89083611","41.89990833"
"","SOUTH STREET POND DAM","-","MA03147","11/14/2012","Local Government","TOWN OF BRIDGEWATER, HIGHWAY AND FORESTRY DEPARTMENT","13.8","50","Other","Other","Earth","SNOW'S BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-70.9888351","41.93753443"
"","UPPER LEACH POND DIKE #1","-","MA03269","05/07/2015","State","DCR - DEPT. OF CONSERVATION & RECREATION","7.4","180","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","TRIBUTARY OF POQUANTICUT BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.152754","42.068548"
"","BEAR BROOK DAM","-","MA03330","09/25/2007","Local Government","CITY OF WORCESTER, DEPARTMENT OF PUBLIC WORKS & PARKS","12","1.74","Other","Other","-","BEAR BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.78558","42.27796"
"","COLD HARBOR BROOK DAM","FERC P-2801","MA00996","04/24/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","22","2195","Flood Control","Flood Control, Recreation, Fish and Wildlife Pond","Earth","COLD HARBOR BROOK","NORTHBOROUGH","-","WORCESTER","MA","MA02","James P. McGovern (D)","Y","Y","Y","06/01/2013","-71.66346807","42.30939396"
"","GOOSE COVE NORTH DAM","FERC P-2801","MA01098","10/01/2013","Local Government","CITY OF GLOUCESTER, DEPARTMENT OF PUBLIC WORKS","35","1140","Water Supply","Water Supply","Earth","ANNISQUAM RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","06/01/2007","-70.66218949","42.64834481"
"","WILD ACRES DAM","-","MA02352","-","Local Government","CITY OF PITTSFIELD","8","110","Fish and Wildlife Pond","Fish and Wildlife Pond","Earth","TR-SOUTHWEST BR HOUSATONIC","PITTSFIELD","1","BERKSHIRE","MA","MA01","Richard E. Neal (D)","N","N","N","-","-73.28450999","42.42533"
"","NATURAL BRIDGE DAM","FERC P-2801","MA02618","11/14/2012","State","DCR - DEPT. OF CONSERVATION & RECREATION","25","13.4","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","HUDSON BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.09275387","42.70813579"
"","MONGO POND DAM","FERC P-2801","MA01958","07/22/2009","State","DOT - DEPT. OF TRANSPORTATION","17","59","Other","Other","Earth","-","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.329926","42.170506"
"","WHITNEY POND DAM","FERC P-2801","MA01671","10/07/2009","Local Government","TOWN OF ASHBURNHAM, BOARD OF SELECTMEN","14.5","50","Recreation","Recreation","-","WHITMAN RIVER","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.94113528","42.61035053"
"","LAKE QUANNAPOWITT DAM","FERC P-2801","MA01145","07/30/2012","Local Government","TOWN OF WAKEFIELD, BOARD OF SELECTMEN","6","2260","Recreation","Recreation","Concrete","SAUGUS RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.07751","42.522407"
"","CORNELL LOWER POND DAM","FERC P-2801","MA01339","05/29/2015","Local Government","TOWN OF DARTMOUTH","8","85","Recreation","Recreation","-","COPICUT RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-71.028038","41.683585"
"","UPPER TUCKER POND EAST DAM","FERC P-2801","MA02882","11/25/2014","Private","UNKNOWN","12.5","242","Recreation","Recreation","Earth","-","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.748801","42.10042"
"","CROSS POND DAM","FERC P-2801","MA02401","02/09/2012","Local Government","CITY OF BROCKTON, OFFICE OF THE MAYOR","7.5","9","Recreation","Recreation","Earth","SALISBURY BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","02/26/2007","-71.04129247","42.0899632"
"","SHERMOND POND OUTLET","FERC P-2801","MA02715","-","Private","-","7","398.87","-","-","-","-","-","0","-","MA","MA01","Richard E. Neal (D)","N","N","N","-","-72.19529","42.13226"
"","TURNER POND DAM","FERC P-2801","MA01155","05/25/2011","Local Government","TOWN OF WALPOLE, DEPARTMENT OF PUBLIC WORKS","10","275","Recreation","Recreation","Earth","MINE BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-71.26124","42.151307"
"","MAUSERTS POND DAM","FERC P-2801","MA01262","06/10/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","14","540","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","NORTH BRANCH OF HOOSIC RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.07509936","42.73640331"
"","GRIST MILL DAM","FERC P-2801","MA02726","07/22/2009","Local Government","TOWN OF HOPKINTON, BOARD OF SELECTMEN","10","81.9","Recreation","Recreation","-","COLD SPRING BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.48032232","42.21845484"
"","PLOW SHOP POND DAM","FERC P-2801","MA01184","12/08/2006","Private","G. V. M. REALTY, INC.","7","270","Recreation","Recreation","Earth","NONACOICUS BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.59486449","42.55742068"
"","MILL POND SOUTH DIKE","FERC P-2801","MA01123","07/22/2014","Local Government","TOWN OF BURLINGTON, DEPARTMENT OF PUBLIC WORKS","39","1746","Water Supply","Water Supply","-","PUMPED STORAGE RESERVOIR FROM SHAWSHEEN RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","11/03/2014","-71.17726995","42.50912285"
"","MOUNTAIN STREET RESERVOIR DIKES","FERC P-2801","MA01295","03/25/2008","Local Government","CITY OF NORTHAMPTON, DEPARTMENT OF PUBLIC WORKS","16","761","Water Supply","Water Supply","Earth","TRIBUTARY OF BEUAVER BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","08/01/2007","-72.668297","42.402893"
"","CORDINGLY DAM","FERC P-2801","MA01116","06/21/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","11","215","Flood Control","Flood Control, Recreation","-","CHARLES RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.254391","42.32578"
"","HOWE MILL POND DAM","FERC P-2801","MA01175","09/21/2012","State","DCR - DEPT. OF CONSERVATION & RECREATION","13","81","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","CRANBERRY RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.999794","42.21588"
"","ASSABET RIVER DAM","FERC P-2801","MA00995","11/19/2014","Private","MONTROSE NORTHBOROUGH, LLC","11","20","Water Supply","Water Supply","-","ASSABET RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.630231","42.329644"
"","DAVENPORT POND DAM","FERC P-2801","MA01764","10/08/2009","Local Government","TOWN OF PETERSHAM, BOARD OF SELECTMEN","6.5","105","Fish and Wildlife Pond","Fish and Wildlife Pond","Earth","-","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.20321059","42.54316665"
"","WHITEHALL UPPER POND DAM","-","MA03240","06/17/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","10","13","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","WHITEHALL BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.563746","42.237817"
"","MILL POND DAM","-","MA03331","05/25/2013","Local Government","TOWN OF ROCKPORT, BOARD OF SELECTMEN","13","10","Recreation","Recreation","Concrete","MILL BROOK","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-70.623481","42.65847"
"","WILSON CORNE MILL DAM","OLD BURLINGTON ROAD CULVERT","MA03244","09/30/2013","Local Government","TOWN OF BEDFORD, CONSERVATION COMMISSION","12.7","75","Recreation","Recreation","Earth","VINE BROOK","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.246117","42.501078"
"","WACHUSETT RESERVOIR SOUTH DIKE","-","MA03263","08/06/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","45","250000","Water Supply","Water Supply","Earth","NASHUA RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","02/01/2013","-71.689421","42.390862"
"","HEALTH CAMP DAM","FERC P-2801","MA02802","-","Private","DAVID A. & JILL A. DUPUIS","14","14.5","-","-","-","-","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.92976","42.20842"
"","ARNOLD DAM","FERC P-2801","MA01807","06/02/2009","Private","LINSCOTT FAMILY TRUST","21","9","Water Supply","Water Supply","Masonry","PECKS BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.13619113","42.62227127"
"","CRANBERRY RESERVOIR DAM","FERC P-2801","MA01168","-","Private","-","7","180.77","-","-","-","MULBERRY MEADOW BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","N","N","N","-","-71.12751675","41.99872444"
"","LONG POND DAM","FERC P-2801","MA02592","-","State","DCR - DEPT. OF CONSERVATION & RECREATION","10","1400","-","-","-","-","-","0","-","MA","MA02","James P. McGovern (D)","N","N","N","-","-71.99302","42.36746"
"","LOWER SHAWME LAKE DAM","FERC P-2801","MA02470","05/19/2014","Local Government","TOWN OF SANDWICH, BOARD OF SELECTMEN","10","63","Recreation","Recreation","Earth","MILL CREEK - SPRING FED","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.500454","41.75773"
"","UPPER FLINT POND DAM","FERC P-2801","MA01001","05/14/2015","State","DFG - DEPT. OF FISH AND GAME","9.5","360","Recreation","Recreation","-","BRIDGE MEADOW BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.425718","42.674904"
"","KENNARD RESERVOIR DAM","FERC P-2801","MA02193","-","Private","-","12","182.62","-","-","-","-","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.62610333","41.83290781"
"","WINNETUXET ROAD POND DAM","FERC P-2801","MA02465","12/10/2011","Local Government","TOWN OF PLYMPTON, BOARD OF SELECTMEN","12","18","Recreation","Recreation","Earth","WINNETUXET RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.826055","41.946637"
"","BARROWSVILLE POND DAM","-","MA03069","07/07/2015","Private","TWEAVE, INC.","13","290","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Earth","WADING RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.20264739","41.94684148"
"","1000 ACRE POND DAM","FERC P-2801","MA02309","-","Local Government","TOWN OF ATHOL, DEPARTMENT OF PUBLIC WORKS","27","15.5","-","-","-","1000 ACRE BROOK","-","0","-","MA","MA02","James P. McGovern (D)","N","N","N","-","-72.16406029","42.61169972"
"","MANCHESTER POND RESERVOIR EAST DIKE EMBKMT 3 AND 4","FERC P-2801","MA01289","06/24/2014","Local Government","CITY OF ATTLEBORO, WATER DEPARTMENT","14.5","4020","Water Supply","Water Supply","Earth","FOURMILE BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","05/01/2014","-71.310692","41.950789"
"","NYE POND DAM","FERC P-2801","MA02469","06/23/2015","State","DFG - DEPT. OF FISH AND GAME","13","54","Recreation","Recreation","Earth","-","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.43197","41.72843"
"","COLES BROOK POND DAM","FERC P-2801","MA01053","04/23/2009","Private","THE NATURE CONSERVANCY","11","121","Recreation","Recreation","Earth","COLES BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.06667383","42.35732596"
"","MILL POND DAM","-","MA03006","06/17/2013","Private","UNKNOWN","10","79","Recreation","Recreation","-","EMERSON BROOK","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.00159411","42.60967488"
"","KETTLE BROOK RESERVOIR #1 DAM","FERC P-2801","MA00989","09/24/2015","Local Government","CITY OF WORCESTER, DEPARTMENT OF PUBLIC WORKS & PARKS","22.5","96","Water Supply","Water Supply","Earth","KETTLE BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","09/01/2007","-71.89177545","42.25666243"
"","SQUIRES DAM","FERC P-2801","MA02382","03/08/2012","Local Government","TOWN OF WALES, BOARD OF SELECTMEN","10","29.5","Recreation","Recreation","Earth","TRIBUTARY OF WALES BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.231682","42.067313"
"","SALEM POND DAM","FERC P-2801","MA02514","05/22/2006","State","DCR - DEPT. OF CONSERVATION & RECREATION","10","132","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","-","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.073994","42.607031"
"","LAKE PENTUCKET DAM","FERC P-2801","MA01283","09/11/2012","Local Government","CITY OF HAVERHILL, ENGINEERING DEPARTMENT","8","430","Water Supply","Water Supply","Earth","KENOZA BASIN","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.0711","42.7911"
"","BURNCOAT POND DAM","FERC P-2801","MA00985","11/16/2012","Local Government","BURNCOAT POND WATERSHED DISTRICT","14","800","Recreation","Recreation","-","BURNCOAT BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.945977","42.235397"
"","ALLEN SITE DAM","DIAMOND BROOK DAM","MA02598","-","Local Government","TOWN OF WALPOLE","21","509","Flood Control","Flood Control, Recreation, Fish and Wildlife Pond","Earth","SPRING BROOK","WALPOLE","1","NORFOLK","MA","MA08","Stephen F. Lynch (D)","N","N","N","-","-71.23703","42.13638"
